Date,Name,Year,Letterboxd URI,Rating
2021-07-25,Boudu Saved from Drowning,1932,https://boxd.it/IDg,3
2021-08-02,The Sparks Brothers,2021,https://boxd.it/tboq,4
2021-08-04,Fox and His Friends,1975,https://boxd.it/Xma,3
2021-08-05,Toy Story 3,2010,https://boxd.it/1WRe,4
2021-08-12,Chungking Express,1994,https://boxd.it/1UDa,5
2021-08-16,Drive,2011,https://boxd.it/IG,4
2021-08-20,Cool Hand Luke,1967,https://boxd.it/29jY,4
2021-08-22,Reservoir Dogs,1992,https://boxd.it/2agc,4
2021-08-24,Inglourious Basterds,2009,https://boxd.it/1JzG,4
2021-08-27,In the Mood for Love,2000,https://boxd.it/29tE,5
2021-08-31,Pink Flamingos,1972,https://boxd.it/29NO,4
2021-09-02,Scorpio Rising,1963,https://boxd.it/Mks,4
2021-09-02,Willy Wonka & the Chocolate Factory,1971,https://boxd.it/2aLu,4
2021-09-02,Female Trouble,1974,https://boxd.it/1Oqk,4
2021-09-03,Lucifer Rising,1981,https://boxd.it/1blq,4
2021-09-06,The SpongeBob SquarePants Movie,2004,https://boxd.it/1SYq,4
2021-09-07,Harold and Maude,1971,https://boxd.it/2axM,5
2021-09-07,Freddy Got Fingered,2001,https://boxd.it/1QGk,4
2021-09-08,Twin Peaks: Fire Walk with Me,1992,https://boxd.it/27Qw,5
2021-09-19,Terrorizers,1986,https://boxd.it/2IRG,4
2021-09-20,Tokyo Drifter,1966,https://boxd.it/OTY,4
2021-09-21,Pickpocket,1997,https://boxd.it/zPi,4
2021-09-22,Unknown Pleasures,2002,https://boxd.it/2NeY,4
2021-09-22,The Muppet Movie,1979,https://boxd.it/1UrS,4
2021-09-23,Beyond the Valley of the Dolls,1970,https://boxd.it/22GQ,4
2021-09-25,Drifting Clouds,1996,https://boxd.it/20tU,4
2021-09-28,The Double,2013,https://boxd.it/4DLW,3
2021-09-29,Love Is Colder Than Death,1969,https://boxd.it/1RTY,3
2021-10-02,Satan’s Brew,1976,https://boxd.it/18aY,3
2021-10-03,World on a Wire,1973,https://boxd.it/B9me,4
2021-10-04,City Lights,1931,https://boxd.it/29ki,4
2021-10-04,Le Havre,2011,https://boxd.it/2vzu,4
2021-10-05,"Merry Christmas, Mr. Lawrence",1983,https://boxd.it/1SHu,5
2021-10-06,The Brood,1979,https://boxd.it/1ovS,4
2021-10-08,No Time to Die,2021,https://boxd.it/cPX2,3
2021-10-09,Twin Peaks: The Return,2017,https://boxd.it/hN9O,5
2021-10-10,"Paris, Texas",1984,https://boxd.it/29Ts,5
2021-10-11,The Wrong Trousers,1993,https://boxd.it/2ack,4
2021-10-14,Seven Samurai,1954,https://boxd.it/2axi,5
2021-10-14,Friday the 13th: The Final Chapter,1984,https://boxd.it/1XWO,3
2021-10-15,Manhunter,1986,https://boxd.it/1TOw,4
2021-10-17,Near Dark,1987,https://boxd.it/1SRO,3
2021-10-22,Invasion of the Body Snatchers,1978,https://boxd.it/1SWk,3
2021-10-25,Fallen Angels,1995,https://boxd.it/1UkW,5
2021-10-25,Tetsuo: The Iron Man,1989,https://boxd.it/ZoM,5
2021-10-26,The Dead Zone,1983,https://boxd.it/1U6g,4
2021-10-27,Ringu,1998,https://boxd.it/26tw,4
2021-10-28,The Ring,2002,https://boxd.it/2a70,3
2021-10-30,A Charlie Brown Christmas,1965,https://boxd.it/1QDq,4
2021-10-31,Hard Boiled,1992,https://boxd.it/1T6a,5
2021-11-02,A Nightmare on Elm Street,1984,https://boxd.it/2aw0,4
2021-11-03,Scream,1996,https://boxd.it/24EC,4
2021-11-09,Ratcatcher,1999,https://boxd.it/1mSg,5
2021-11-09,First Blood,1982,https://boxd.it/28U0,4
2021-11-10,Good Will Hunting,1997,https://boxd.it/2ahY,4
2021-11-13,Italianamerican,1974,https://boxd.it/3deg,4
2021-11-17,The Marriage of Maria Braun,1979,https://boxd.it/29Su,4
2021-11-18,Videodrome,1983,https://boxd.it/29uC,4
2021-11-23,No Regrets for Our Youth,1946,https://boxd.it/Um2,4
2021-11-23,Hiruko the Goblin,1991,https://boxd.it/163c,4
2021-11-23,The Card Counter,2021,https://boxd.it/nTH0,4
2021-11-23,Censor,2021,https://boxd.it/oHFS,4
2021-11-25,Harakiri,1962,https://boxd.it/1NTU,5
2021-11-26,Brewster McCloud,1970,https://boxd.it/1tIi,4
2021-11-29,Citizen Kane,1941,https://boxd.it/71O,5
2021-11-30,Prisoners of the Ghostland,2021,https://boxd.it/j0NY,1
2021-11-30,Scandal,1950,https://boxd.it/1gG4,4
2021-12-04,"Rome, Open City",1945,https://boxd.it/2aD6,4
2021-12-04,The Bad Sleep Well,1960,https://boxd.it/1iLA,5
2021-12-05,Falling Cat,1894,https://boxd.it/4R8a,2
2021-12-05,Ikiru,1952,https://boxd.it/251c,5
2021-12-07,Sandow,1896,https://boxd.it/49fc,2
2021-12-07,Annie Oakley,1894,https://boxd.it/4Bew,2
2021-12-08,Withnail & I,1987,https://boxd.it/1Qa4,5
2021-12-08,Conflagration,1958,https://boxd.it/3m8Q,3
2021-12-08,Boogie Nights,1997,https://boxd.it/23um,5
2021-12-08,Bad Santa,2003,https://boxd.it/1WYk,3
2021-12-09,Furious 7,2015,https://boxd.it/5cVs,3
2021-12-09,Fast & Furious 6,2013,https://boxd.it/2UG6,3
2021-12-09,Fast Five,2011,https://boxd.it/BgO,3
2021-12-09,Pink Floyd: The Wall,1982,https://boxd.it/1Sxk,4
2021-12-09,House,1977,https://boxd.it/1vsm,5
2021-12-09,Life of Brian,1979,https://boxd.it/2a4q,4
2021-12-10,The French Dispatch,2021,https://boxd.it/jLP8,4
2021-12-10,Bone Tomahawk,2015,https://boxd.it/9kiw,2
2021-12-12,Faces,1968,https://boxd.it/29Ia,4
2021-12-12,Pulp Fiction,1994,https://boxd.it/29Pq,4
2021-12-14,The Firm,1989,https://boxd.it/1IRO,4
2021-12-15,The Passion of Joan of Arc,1928,https://boxd.it/29DO,4
2021-12-15,The Grand Budapest Hotel,2014,https://boxd.it/3ZqO,4
2021-12-16,Youth in Fury,1960,https://boxd.it/4kdQ,3
2021-12-18,Strange Circus,2005,https://boxd.it/1Vg2,1
2021-12-20,My Winnipeg,2007,https://boxd.it/1Qz4,4
2021-12-20,The Worst Person in the World,2021,https://boxd.it/oyws,4
2021-12-21,Taxi Driver,1976,https://boxd.it/2b8y,5
2021-12-22,Porco Rosso,1992,https://boxd.it/1Tp2,4
2021-12-24,Ace in the Hole,1951,https://boxd.it/1vXk,4
2021-12-24,Home Alone,1990,https://boxd.it/29Fg,4
2021-12-26,The Matrix Resurrections,2021,https://boxd.it/n87k,4
2021-12-27,Pecker,1998,https://boxd.it/1SVw,3
2021-12-28,Don't Look Up,2021,https://boxd.it/o0Hc,1
2021-12-28,Dogville,2003,https://boxd.it/2a8W,2
2021-12-29,Blazing Saddles,1974,https://boxd.it/1UHQ,4
2021-12-29,The Producers,1967,https://boxd.it/1lMm,4
2021-12-29,Red Rocket,2021,https://boxd.it/sGpi,4
2021-12-31,Peking Opera Blues,1986,https://boxd.it/13fO,4
2022-01-02,Full Contact,1992,https://boxd.it/1sAC,3
2022-01-04,Light Sleeper,1992,https://boxd.it/1aKa,4
2022-01-04,Smiley Face,2007,https://boxd.it/1QG0,4
2022-01-05,The Rules of the Game,1939,https://boxd.it/29Es,4
2022-01-07,Harry Potter and the Chamber of Secrets,2002,https://boxd.it/29QI,3
2022-01-07,Prison on Fire,1987,https://boxd.it/w2C,4
2022-01-09,Another Year,2010,https://boxd.it/T1C,4
2022-01-10,The Savages,2007,https://boxd.it/20ra,4
2022-01-10,Election,2005,https://boxd.it/2lDm,4
2022-01-12,A Better Tomorrow II,1987,https://boxd.it/1HbW,4
2022-01-12,Gerry,2002,https://boxd.it/27LG,4
2022-01-13,Halloween III: Season of the Witch,1982,https://boxd.it/1VFc,4
2022-01-13,Shrek 2,2004,https://boxd.it/29z8,4
2022-01-15,Blade Runner 2049,2017,https://boxd.it/b8wK,4
2022-01-15,Wonder Woman 1984,2020,https://boxd.it/gBtA,1
2022-01-15,In the Soup,1992,https://boxd.it/xM2,3
2022-01-15,Holy Motors,2012,https://boxd.it/3wai,4
2022-01-17,Black Widow,2021,https://boxd.it/hWV8,2
2022-01-18,High Fidelity,2000,https://boxd.it/2aMW,4
2022-01-18,Re-Animator,1985,https://boxd.it/28hM,4
2022-01-18,Birdman or (The Unexpected Virtue of Ignorance),2014,https://boxd.it/5RFA,4
2022-01-18,Amadeus,1984,https://boxd.it/2aH8,4
2022-01-18,Fitzcarraldo,1982,https://boxd.it/1YV8,4
2022-01-18,Back to the Future,1985,https://boxd.it/2b8e,4
2022-01-18,Aliens,1986,https://boxd.it/29PA,4
2022-01-18,Sideways,2004,https://boxd.it/1Y5c,4
2022-01-18,Ghostbusters,1984,https://boxd.it/g2w,4
2022-01-18,Children of Men,2006,https://boxd.it/1Y2i,4
2022-01-18,Seven Psychopaths,2012,https://boxd.it/34PW,4
2022-01-18,The Matrix Reloaded,2003,https://boxd.it/2a1c,4
2022-01-18,Do the Right Thing,1989,https://boxd.it/29gA,5
2022-01-18,The Boondock Saints,1999,https://boxd.it/20gw,3
2022-01-18,A Town Called Panic,2009,https://boxd.it/11ki,3
2022-01-18,Bad Trip,2021,https://boxd.it/lgRG,3
2022-01-18,Idiocracy,2006,https://boxd.it/20RW,3
2022-01-18,The Hand,2020,https://boxd.it/vWp0,4
2022-01-19,Raging Bull,1980,https://boxd.it/28yI,5
2022-01-19,The Mission,1999,https://boxd.it/OvW,4
2022-01-19,Rushmore,1998,https://boxd.it/1TAO,5
2022-01-19,Eight Hours Don’t Make a Day,1972,https://boxd.it/zgJ6,4
2022-01-19,Mystery Train,1989,https://boxd.it/1Ub6,5
2022-01-21,Ivan's Childhood,1962,https://boxd.it/1j6y,4
2022-01-21,Spider-Man: No Way Home,2021,https://boxd.it/nwRw,2
2022-01-22,Mr. Pip,2012,https://boxd.it/41CM,3
2022-01-22,The River,1997,https://boxd.it/uEk,4
2022-01-24,Meet the Robinsons,2007,https://boxd.it/28Ym,4
