Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2017-07-09,The Rounders,1914,https://boxd.it/inWM1,3,,,2017-07-08
2017-07-10,Fright Night,1985,https://boxd.it/iq3kn,4.5,,,2017-07-09
2017-07-11,The Abominable Dr. Phibes,1971,https://boxd.it/irKJx,4,,,2017-07-10
2017-07-13,The Mummy,2017,https://boxd.it/iupkR,1.5,,,2017-07-12
2017-07-13,Braindead,1992,https://boxd.it/iuLEf,4.5,,,2017-07-12
2017-07-14,Dawn of the Planet of the Apes,2014,https://boxd.it/iw4Pj,4,Yes,,2017-07-13
2017-07-14,A Nightmare on Elm Street Part 2: Freddy's Revenge,1985,https://boxd.it/iwVCn,1.5,,,2017-07-14
2017-07-16,A Nightmare on Elm Street 3: Dream Warriors,1987,https://boxd.it/iyQMV,3.5,,,2017-07-15
2017-07-17,Spider-Man: Homecoming,2017,https://boxd.it/iAsvF,4,,,2017-07-16
2017-07-18,Night of the Living Dead,1968,https://boxd.it/iBTbT,5,Yes,,2017-07-17
2017-07-18,Dawn of the Dead,1978,https://boxd.it/iC1Px,5,Yes,,2017-07-17
2017-07-24,War for the Planet of the Apes,2017,https://boxd.it/iLokZ,5,,,2017-07-23
2017-07-26,Ip Man,2008,https://boxd.it/iOR6X,4.5,,,2017-07-25
2017-07-27,Mean Streets,1973,https://boxd.it/iPCPF,3,,,2017-07-26
2017-07-27,High Fidelity,2000,https://boxd.it/iQZiB,4.5,,,2017-07-27
2017-08-01,Yellow Submarine,1968,https://boxd.it/iYmGv,4.5,,,2017-07-31
2017-08-02,G.I. Joe: Retaliation,2013,https://boxd.it/j0LWH,2,Yes,,2017-08-01
2017-08-03,Dunkirk,2017,https://boxd.it/j1Krl,4.5,,,2017-08-02
2017-08-03,Four Lions,2010,https://boxd.it/j1Slv,4.5,,,2017-08-02
2017-08-04,Monty Python and the Holy Grail,1975,https://boxd.it/j3Ny9,5,Yes,,2017-08-03
2017-08-13,Thunderbirds are GO,1966,https://boxd.it/jiaVN,3,,,2017-08-13
2017-08-15,Kingpin,1996,https://boxd.it/jl7on,3.5,,,2017-08-14
2017-08-18,American Movie,1999,https://boxd.it/jo4k9,5,Yes,,2017-08-17
2017-08-23,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,https://boxd.it/juIG7,5,,,2017-08-22
2017-08-24,The Wolf Man,1941,https://boxd.it/jwgP5,4,,,2017-08-23
2017-08-24,My Neighbor Totoro,1988,https://boxd.it/jwnB5,4.5,,,2017-08-23
2017-08-25,F for Fake,1973,https://boxd.it/jyr2R,4.5,,,2017-08-24
2017-08-26,The Bride of Frankenstein,1935,https://boxd.it/jzHUR,5,,,2017-08-25
2017-08-26,Living in Oblivion,1995,https://boxd.it/jAsYL,4,,,2017-08-26
2017-08-27,Rashomon,1950,https://boxd.it/jBlQR,5,,,2017-08-26
2017-08-29,The Mummy,1932,https://boxd.it/jE8Sh,4,,,2017-08-28
2017-08-30,Repo Man,1984,https://boxd.it/jFoF1,3.5,,,2017-08-29
2017-08-31,Pan's Labyrinth,2006,https://boxd.it/jGIUd,5,,,2017-08-30
2017-08-31,Hotel Transylvania: Puppy!,2017,https://boxd.it/jH0Av,3,,,2017-08-30
2017-09-01,Werner Herzog Eats His Shoe,1980,https://boxd.it/jILcn,4,,,2017-08-31
2017-09-01,Submarine,2010,https://boxd.it/jJpEr,5,Yes,,2017-08-31
2017-09-02,The Double,2013,https://boxd.it/jKib5,4,,,2017-09-01
2017-09-02,"Sherlock, Jr.",1924,https://boxd.it/jKlBb,4,,,2017-09-01
2017-09-02,Sir Billi,2012,https://boxd.it/jKYo1,1,,,2017-09-01
2017-09-03,The Dark Tower,2017,https://boxd.it/jMuZF,2,,,2017-09-02
2017-09-04,Stalker,1979,https://boxd.it/jNFEl,5,,,2017-09-03
2017-09-05,The Royal Tenenbaums,2001,https://boxd.it/jPTJt,4,,,2017-09-04
2017-09-06,Eagle vs Shark,2007,https://boxd.it/jSto1,3,,,2017-09-05
2017-09-07,Alien: Covenant,2017,https://boxd.it/jTymr,2.5,,,2017-09-06
2017-09-08,Halloween II,1981,https://boxd.it/jUHgz,3,,,2017-09-07
2017-09-08,American Movie,1999,https://boxd.it/jUYxd,5,Yes,,2017-09-07
2017-09-09,Eraserhead,1977,https://boxd.it/jVTdJ,4.5,,,2017-09-08
2017-09-10,Halloween III: Season of the Witch,1982,https://boxd.it/jYGK7,3.5,,,2017-09-10
